name,rr,ndcg,map
msmarco-passage/trec-dl-2020/judged,0.61467519106408,0.4936273783432555,0.2752817555632521
msmarco-passage/trec-dl-2019/judged,0.6396548541897378,0.4795398322478301,0.23216534072734005
msmarco-passage/trec-dl-hard,0.4150555555555556,0.27433268930191845,0.13579790003953104
beir/arguana,0.22561668811668747,0.34244214080697244,0.23698833560496801
beir/nfcorpus/test,0.5343776106934003,0.32221949931359506,0.14358201517739988
beir/fiqa/test,0.31027091906721516,0.2525888386645462,0.2086397650398657
beir/scifact/test,0.6324272486772485,0.6721667420411603,0.626748723422958
beir/webis-touche2020/v2,0.622845804988662,0.3427738076775305,0.20959255177920091
beir/cqadupstack/android,0.34223607421032315,0.3397436579186742,0.30916907551861234
beir/cqadupstack/english,0.30829162875341193,0.3055617415678668,0.2794821746522539
beir/cqadupstack/gaming,0.45143678160919554,0.4689884082524262,0.4289941999398653
beir/cqadupstack/gis,0.27502331629450266,0.2947361410160383,0.2672788761789034
beir/cqadupstack/mathematica,0.2131233712390428,0.2146258113935297,0.18629676647570503
beir/cqadupstack/physics,0.32945177750278803,0.33211884338533326,0.29265649722169307
beir/cqadupstack/programmers,0.24856581140827705,0.2501995026298969,0.22363033916314876
beir/cqadupstack/stats,0.2579505063784205,0.2651921542860327,0.24446124738025596
beir/cqadupstack/tex,0.23096412458077983,0.23462524472624227,0.2091052622838833
beir/cqadupstack/unix,0.2743940268893627,0.2770353594110307,0.25103898043370493
beir/cqadupstack/webmasters,0.2875329380764164,0.28992353292014456,0.261101672883905
beir/cqadupstack/wordpress,0.21947671859871482,0.23727667176299702,0.21588132482327257
