name,rr,ndcg,map
msmarco-passage/trec-dl-2020/judged,0.5864638447971781,0.504313712532021,0.29989920753368887
msmarco-passage/trec-dl-2019/judged,0.6066814322628277,0.5155947995973377,0.25189623031986796
msmarco-passage/trec-dl-hard,0.3892222222222222,0.27087035022645706,0.14373404293673236
beir/arguana,0.21205942784890114,0.3234176786597612,0.2251536605187195
beir/nfcorpus/test,0.5232591282126885,0.3314665648543911,0.15498789439451613
beir/fiqa/test,0.26471438369586503,0.2280136742165078,0.18320667018497502
beir/scifact/test,0.5624312169312171,0.6222268887325062,0.5596600470608
beir/webis-touche2020/v2,0.5672821509556203,0.3465625266559702,0.2199552417042529
beir/cqadupstack/android,0.341445261938824,0.33900356360866446,0.30839448346293935
beir/cqadupstack/english,0.2986540794661813,0.299226730108779,0.2719195451019638
beir/cqadupstack/gaming,0.4415830721003135,0.46225600203817957,0.42207081733230184
beir/cqadupstack/gis,0.2675544794188861,0.28879656375688817,0.26239846749731993
beir/cqadupstack/mathematica,0.20979971175866685,0.21398231969794848,0.18617331667083778
beir/cqadupstack/physics,0.3265678231510761,0.32998480707604094,0.29216683365127755
beir/cqadupstack/programmers,0.24242226570993677,0.24558804012498356,0.21909628417503135
beir/cqadupstack/stats,0.2526104051027364,0.26464551152375343,0.2397358915690482
beir/cqadupstack/tex,0.22514720501644117,0.2294943281535359,0.20463677295472302
beir/cqadupstack/unix,0.26491500829187387,0.27127597650311014,0.24457197940983288
beir/cqadupstack/webmasters,0.2843457870631783,0.28995388836316055,0.25946838183941096
beir/cqadupstack/wordpress,0.21373485315259802,0.23142141278501735,0.21067824437118893
