name,rr,ndcg,map
msmarco-passage/trec-dl-2020/judged,0.7966490299823633,0.6913522077314929,0.45744894616604936
msmarco-passage/trec-dl-2019/judged,0.8573643410852712,0.718088449647843,0.40381858122268305
msmarco-passage/trec-dl-hard,0.5720555555555555,0.40409108381634484,0.23007148647913847
beir/arguana,0.2210941204362253,0.33620959357550767,0.2333510654935894
beir/nfcorpus/test,0.5341441839893851,0.3330200736994807,0.15333171505304583
beir/fiqa/test,0.37189398393102097,0.30876154307471804,0.2554647679708252
beir/scifact/test,0.6415119047619047,0.6806436578654422,0.6329245021322087
beir/webis-touche2020/v2,0.6364512471655328,0.3565198251185531,0.22630683682608752
beir/cqadupstack/android,0.37488645911392676,0.3629958876138558,0.33273511865020383
beir/cqadupstack/english,0.3351604994439388,0.3253274713607851,0.2942905068085536
beir/cqadupstack/gaming,0.4568490321938598,0.46842336484662844,0.4344275617635206
beir/cqadupstack/gis,0.2531759483454397,0.27090379867385744,0.24556440999472756
beir/cqadupstack/mathematica,0.20100785753770817,0.20558575857979097,0.17570653566183073
beir/cqadupstack/physics,0.34933391386711865,0.35063180602740257,0.31198921326926427
beir/cqadupstack/programmers,0.29794429948539525,0.29267730857291174,0.2629915441532672
beir/cqadupstack/stats,0.24135930957249976,0.249654962264144,0.2284599554693985
beir/cqadupstack/tex,0.2204836190039221,0.22130462059742745,0.19707018613864014
beir/cqadupstack/unix,0.27034840677564553,0.27469331471643577,0.247697537141965
beir/cqadupstack/webmasters,0.2844273480143045,0.28719984791509773,0.2575344233845353
beir/cqadupstack/wordpress,0.20647976997330042,0.22000552946210866,0.19938046108332363
