name,rr,ndcg,map
msmarco-passage/trec-dl-2020/judged,0.7895061728395062,0.6860437132951576,0.4464605586484347
msmarco-passage/trec-dl-2019/judged,0.8077519379844962,0.6928016987108775,0.3887119435834715
msmarco-passage/trec-dl-hard,0.5312222222222222,0.39437120390108676,0.221447223121004
beir/arguana,0.22927815033078153,0.3458211983513403,0.2414443494913186
beir/nfcorpus/test,0.5449432404540764,0.3289741727689117,0.1482591088028957
beir/fiqa/test,0.38227023319615894,0.31233391971825786,0.2606175608307889
beir/scifact/test,0.6521746031746029,0.6861989773780116,0.6446162432107181
beir/webis-touche2020/v2,0.6309766763848396,0.3566597836043252,0.22401824436363071
beir/cqadupstack/android,0.37699377795944305,0.36490834381919224,0.33446778403729943
beir/cqadupstack/english,0.33473561823880293,0.32606804225001,0.2943692439604269
beir/cqadupstack/gaming,0.4544531522117727,0.46627647955546236,0.4323992080585485
beir/cqadupstack/gis,0.25110528203748544,0.26957152734634554,0.24299718600565368
beir/cqadupstack/mathematica,0.19904149885493158,0.2038240821704305,0.17463300662759682
beir/cqadupstack/physics,0.34766029607223053,0.3492155429645492,0.31179145022074267
beir/cqadupstack/programmers,0.2968371747481335,0.290959757694006,0.2615803644550695
beir/cqadupstack/stats,0.2392090271691498,0.24785852207600423,0.2266158834321492
beir/cqadupstack/tex,0.21952692295087364,0.22050573066452236,0.1962517863536024
beir/cqadupstack/unix,0.26831615730869446,0.2726589261057781,0.24609483221599085
beir/cqadupstack/webmasters,0.28245812158855627,0.28494434257174195,0.25660121501644784
beir/cqadupstack/wordpress,0.20614602587800368,0.220714642201988,0.1988477967839926
